Country,Clicks,Impressions,CTR,Position
Australia,64,53406,0.12%,49.2
Philippines,2,107,1.87%,51.77
Sri Lanka,2,19,10.53%,36.53
United States,1,679,0.15%,39.37
France,1,39,2.56%,49.67
Egypt,1,36,2.78%,55.33
Singapore,1,6,16.67%,14.83
India,0,436,0%,58.02
Vietnam,0,131,0%,58.07
Brazil,0,98,0%,49.55
Indonesia,0,81,0%,58.1
Thailand,0,68,0%,68
Pakistan,0,62,0%,55.58
Russia,0,57,0%,53.67
Germany,0,52,0%,54.73
Mexico,0,51,0%,56.49
Bangladesh,0,50,0%,48.94
Argentina,0,50,0%,59.82
United Kingdom,0,46,0%,36.41
Ukraine,0,40,0%,62.88
Canada,0,37,0%,25.05
Spain,0,34,0%,51.29
Colombia,0,31,0%,50.26
Turkey,0,28,0%,37.57
Malaysia,0,28,0%,43.39
Italy,0,27,0%,41.74
South Korea,0,27,0%,43.48
Venezuela,0,25,0%,56.08
Algeria,0,24,0%,64.29
Saudi Arabia,0,23,0%,54.17
Japan,0,23,0%,54.83
Poland,0,22,0%,68.41
Nepal,0,21,0%,38.71
Romania,0,21,0%,72.71
South Africa,0,19,0%,58.84
Peru,0,19,0%,60.68
Morocco,0,18,0%,46.39
Israel,0,16,0%,35.19
Kazakhstan,0,16,0%,62.81
United Arab Emirates,0,15,0%,46.93
Iraq,0,15,0%,51.93
Taiwan,0,15,0%,62.73
Ecuador,0,14,0%,53.64
Netherlands,0,13,0%,48.54
New Zealand,0,11,0%,38.27
Dominican Republic,0,11,0%,55.73
Hungary,0,11,0%,64.18
Belarus,0,11,0%,65.82
Tunisia,0,10,0%,60.8
Myanmar (Burma),0,9,0%,48
Serbia,0,9,0%,53.89
Chile,0,7,0%,30.29
Libya,0,7,0%,64.43
Sweden,0,7,0%,65
Nigeria,0,7,0%,73.57
Switzerland,0,6,0%,36
Bolivia,0,6,0%,36.83
Greece,0,6,0%,43.5
Kenya,0,6,0%,43.83
Jordan,0,6,0%,45
Bulgaria,0,6,0%,50
Belgium,0,6,0%,50.83
Croatia,0,6,0%,59.83
Portugal,0,6,0%,60.17
Czechia,0,6,0%,70.83
Ireland,0,5,0%,19.4
Paraguay,0,5,0%,63.4
Slovenia,0,5,0%,76
China,0,4,0%,36.25
Latvia,0,4,0%,41.5
Azerbaijan,0,4,0%,45
Costa Rica,0,4,0%,47.5
Finland,0,4,0%,53.25
Ethiopia,0,4,0%,60.75
Kyrgyzstan,0,4,0%,62.5
Unknown Region,0,4,0%,62.5
Albania,0,4,0%,64
Cambodia,0,4,0%,69.75
Tanzania,0,4,0%,71.25
Ghana,0,4,0%,76.75
Puerto Rico,0,3,0%,16.33
Vanuatu,0,3,0%,21.67
Senegal,0,3,0%,27
Lebanon,0,3,0%,38
Nicaragua,0,3,0%,38.33
Hong Kong,0,3,0%,41.33
Honduras,0,3,0%,56
Kosovo,0,3,0%,56
Uzbekistan,0,3,0%,57.33
Trinidad & Tobago,0,3,0%,67.33
Bosnia & Herzegovina,0,3,0%,69.33
Uruguay,0,3,0%,69.67
Madagascar,0,3,0%,71.67
Armenia,0,3,0%,75
Oman,0,3,0%,77.33
Seychelles,0,2,0%,20.5
Angola,0,2,0%,26.5
Togo,0,2,0%,32
Macedonia,0,2,0%,34
Qatar,0,2,0%,36
Georgia,0,2,0%,40
Lithuania,0,2,0%,42
Palestine,0,2,0%,43.5
Mozambique,0,2,0%,45
Austria,0,2,0%,53
Slovakia,0,2,0%,55
Burkina Faso,0,2,0%,56.5
Cameroon,0,2,0%,57
El Salvador,0,2,0%,59.5
Norway,0,2,0%,60
Congo - Brazzaville,0,2,0%,67.5
Malta,0,2,0%,70.5
Brunei,0,2,0%,92.5
Bahamas,0,1,0%,9
Iceland,0,1,0%,10
Papua New Guinea,0,1,0%,12
U.S. Virgin Islands,0,1,0%,18
Sierra Leone,0,1,0%,19
Tajikistan,0,1,0%,29
Panama,0,1,0%,31
Bahrain,0,1,0%,39
Laos,0,1,0%,45
Bhutan,0,1,0%,47
Botswana,0,1,0%,47
Liberia,0,1,0%,48
Fiji,0,1,0%,49
Réunion,0,1,0%,53
Kiribati,0,1,0%,65
Côte d’Ivoire,0,1,0%,66
Rwanda,0,1,0%,67
Gabon,0,1,0%,80
Montenegro,0,1,0%,85
Guatemala,0,1,0%,87
Tuvalu,0,1,0%,88
Mauritius,0,1,0%,93
