Top pages,Clicks,Impressions,CTR,Position
https://www.procleancorp.com.au/,68,31059,0.22%,46.22
https://www.procleancorp.com.au/commercial-cleaning,1,6978,0.01%,66.4
https://www.procleancorp.com.au/services/medicalcentre-cleaning,1,4132,0.02%,49.32
https://www.procleancorp.com.au/office-cleaning,1,4106,0.02%,66.49
https://www.procleancorp.com.au/strata-cleaning-arncliffe,1,55,1.82%,8.75
https://www.procleancorp.com.au/services/gym-cleaning,0,3697,0%,50.68
https://www.procleancorp.com.au/services/strata-cleaning,0,2947,0%,56.59
https://www.procleancorp.com.au/services/warehouse-cleaning,0,2416,0%,50.22
https://www.procleancorp.com.au/office-cleaning-sydney,0,480,0%,72.37
https://www.procleancorp.com.au/gym-cleaning-sydney,0,325,0%,30.26
https://www.procleancorp.com.au/strata-cleaning-sydney,0,318,0%,40.47
https://www.procleancorp.com.au/industrial-cleaning-sydney,0,288,0%,63.61
https://www.procleancorp.com.au/childcare-centre-cleaning-sydney,0,277,0%,64.93
https://www.procleancorp.com.au/office-cleaning-chatswood,0,199,0%,29.64
https://www.procleancorp.com.au/commercial-cleaning-sydney,0,194,0%,42.97
https://www.procleancorp.com.au/cleaning-services-industrial-commercial,0,150,0%,65.42
https://www.procleancorp.com.au/medical-cleaning-castle-hill,0,130,0%,56.74
https://www.procleancorp.com.au/strata-cleaning-maroubra,0,119,0%,51.43
https://www.procleancorp.com.au/shopping-centre-cleaning-sydney,0,109,0%,37.77
https://www.procleancorp.com.au/commercial-cleaning-inner-west,0,103,0%,17.6
https://www.procleancorp.com.au/pub-club-cleaning-sydney,0,94,0%,20.72
https://www.procleancorp.com.au/office-cleaning-macquarie-park,0,89,0%,34.88
https://www.procleancorp.com.au/commercial-cleaning-parramatta,0,89,0%,54.52
https://www.procleancorp.com.au/office-cleaning-silverwater,0,86,0%,21.26
https://www.procleancorp.com.au/commercial-cleaning-north-sydney,0,86,0%,50.34
https://www.procleancorp.com.au/office-cleaning-alexandria,0,82,0%,40.46
https://www.procleancorp.com.au/showroom-cleaning-sydney,0,81,0%,26.25
https://www.procleancorp.com.au/commercial-cleaning-alexandria,0,80,0%,30.95
https://www.procleancorp.com.au/office-cleaning-hornsby,0,78,0%,8.24
https://www.procleancorp.com.au/commercial-cleaning-wetherill-park,0,69,0%,28.52
https://www.procleancorp.com.au/body-corporate-cleaning-sydney,0,68,0%,13.28
https://www.procleancorp.com.au/professional-commercial-cleaning,0,68,0%,63.93
https://www.procleancorp.com.au/strata-cleaning-coogee,0,64,0%,44.02
https://www.procleancorp.com.au/office-cleaning-arncliffe,0,63,0%,12.08
https://www.procleancorp.com.au/strata-cleaning-bondi,0,63,0%,19.11
https://www.procleancorp.com.au/commercial-cleaning-lane-cove,0,62,0%,17.73
"https://www.procleancorp.com.au/contact-us?source=service-locations&location=Avalon 
NSW&region=Northwest Sydney",0,62,0%,40.03
https://www.procleancorp.com.au/commercial-cleaning-bondi-junction,0,59,0%,49.49
https://www.procleancorp.com.au/office-cleaning-kogarah,0,57,0%,9.39
